# Альтернативный формат словаря: expect,answer (RFC 4180).
# Здесь '=' внутри шаблона экранировать не нужно — разделитель другой, —
# но поля с запятыми и кавычками обязаны быть в кавычках, а кавычка
# внутри поля удваивается ("").
#
# Запуск:  at-modem-server --stdio -f config/modem.csv
AT,OK
ATE[01],OK
ATI,"NDM Systems\r\nNDM-LTE-1000\r\nRevision: 1.4.2-ndm\r\n\r\nOK"
AT+COPS?,"+COPS: 0,0,""MegaFon"",7\r\n\r\nOK"
AT+COPS=?,"+COPS: (2,""MegaFon"",""MegaFon"",""25002"",7),(1,""MTS"",""MTS"",""25001"",7),,(0,1,2,3,4),(0,1,2)\r\n\r\nOK"
AT+COPS=*,OK
AT+CPIN?,"+CPIN: READY\r\n\r\nOK"
AT+CPIN=[0-9][0-9][0-9][0-9],OK
AT+CPIN=*,"+CME ERROR: incorrect password"
AT+CSQ,"+CSQ: 21,99\r\n\r\nOK"
